OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
269,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140224_1019; Cut background to match update. Changed attributes to match update.",13770.7635574341,565.655359486448
270,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140224_1027; Cut background to match update. Changed attributes to match update.",10052.8256072998,495.095375741008
271,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140306_1036; Changed - COST_APPOR = VNC & AGREEMENTS = CNTRCT",466874.640354156,12561.1199450189
272,DOD,FEDERAL,,,,DOD,,10.3104269504547,52.7975476136768
273,DOD,FEDERAL,,,,DOD,MIS,8.35367846488953,35.0929415195006
274,DOD,FEDERAL,,,,DOD,,33144.5722961426,3809.97367941475
275,DOD,FEDERAL,,,,DOD, ,98366072.427296,183692.36613347
276,DOD,FEDERAL,,,,DOD,AFN,149022.664466858,1611.9357162914
277,DOD,FEDERAL,,,,DOD,APF,654570103.391144,195200.363640312
278,DOD,FEDERAL,,,,DOD,DPA ID: BEU_002  CDF to DOD,2353887.96201515,62001.9815632412
279,DOD,FEDERAL,,,,DOD,FTO ,20881.550573349,799.792795936271
280,DOD,FEDERAL,,,,DOD,"FTO; 4/7/05 FED DPA chg using parcels",49760795.0604782,58541.4626525699
281,DOD,FEDERAL,,,,DOD,"FTO; 8/25/06 edit",5652523.86612511,27792.223153234
282,DOD,FEDERAL,,,,DOD,MCS,6230294.21749878,11135.4138671254
283,DOD,FEDERAL,,,,DOD,MIS,11555138.9823364,20695.2753099989
284,DOD,FEDERAL,,,,DOD,"NJC_20140226_1035; Cleaned slivers",6133871.58705139,14534.776737834
285,DOD,FEDERAL,,,,DOD,"NJC_20140226_1038; Cleaned slivers.",3974156.23223877,14686.6429317808
286,DOD,FEDERAL,,,,DOD,"NJC_20140226_1045; Cleaned slivers.",10058098.942749,13465.8999932295
287,DOD,FEDERAL,,,,DOD,"NJC_20140226_1046; Cleaned slivers.",2725964.59649658,13789.9755728018
288,DOD,FEDERAL,,,,DOD,"NJC_20140501_1256; Cleaned slivers.",149423.253520966,1995.0821124863
289,DOD,FEDERAL,,,,DOD,NSC,3418263.4420166,21208.3933950745
290,DOD,FEDERAL,,,,DOD,NVC,2469257010.25389,276821.964812462
291,DOD,FEDERAL,,AZFYA,,DOD,FYA,1851148265.8813,347147.194463417
292,DOD,FEDERAL,AFV,CAAFV,,AFV, ,415425272.001839,157516.144717308
293,DOD,FEDERAL,BEA,CABEA,,BEA, ,93678505.0023184,49033.3047288148
294,DOD,FEDERAL,BOB,CABOB,,BOB, ,170663494.422138,70754.7307302006
295,DOD,FEDERAL,FFD,CAFFD,,FFD, ,147290049.140816,88432.4031676325
296,DOD,FEDERAL,FFV,CAFFV,,FFV, ,82111833.7138767,89684.1795025354
297,DOD,FEDERAL,FPB,CAFPB,,FPB, ,1247058063.51798,180046.158129173
298,DOD,FEDERAL,MAB,CAMAB,,MAB, ,8487642.42243958,16598.3985342278
299,DOD,FEDERAL,MCP,CAMCP,,MCP,"NJC_20140423_1008; Fixed slivers.",529614497.126389,119969.556578048
300,DOD,FEDERAL,MCP,CAMCP,,MCP,"NJC_20140423_1307; Changed to Federal.",14016184.6089706,33984.1721777601
301,DOD,FEDERAL,MCT,CAMCT,,MCT, ,2412218521.51814,263504.779905709
302,DOD,FEDERAL,MSM,CAMSM,,MSM, ,91330932.5442352,64022.9203878651
303,DOD,FEDERAL,NAF,CANAF,,NAF, ,77610364.1506195,50259.7201445887
304,DOD,FEDERAL,NLE,CANLE,,NLE, ,75583332.5965953,46680.3060647808
305,DOD,FEDERAL,NVW,CANVW,,NVW, ,20274630.629631,37984.6433285588
306,DOD,FEDERAL,SAD,CASAD,,SAD, ,383477322.117907,156955.327097449
307,DOD,FEDERAL,SFD,CASFD,,SFD, ,5006959301.56971,543223.055844507
308,DOD,FEDERAL,TNT,CATNT,,TNT, ,36924547.8068447,48106.098676074
309,DOD,FEDERAL,TRV,CATRV,,TRV, ,20610524.303339,24139.7809781273
310,LOCAL, ,,,, ,"ODF, BLM, and Other",8595689.51607513,43027.9316165908
311,LOCAL, ,,,, ,"Other; North Lake Tahoe Fire Protection District (FPD)",23023948.6513206,142872.663524957
312,LOCAL, ,,,, ,"Other; Tahoe-Douglas Fire Protection District (FPD)",25538745.863357,175554.898560411
313,LOCAL, ,,,, ,State of Nevada,26991316.2104361,50008.4170359088
314,LOCAL,LOCAL,,,,LOCAL,Not Salton Sea NWR,7853087.33908081,24233.6220911781
315,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF, ,47764127.2473068,103027.440195576
316,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Chino LWC,18043145.8476486,60485.3422583651
317,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Colton LWC,4033950.90382385,18020.0282176721
318,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Highland WPA,5104499.39046478,17056.6168268907
319,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Loma Linda LWC,563100.306098938,15689.2955289642
320,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Rancho Cucamonga LWC,16633142.8694534,43972.0230931937
321,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Redlands LWC,343663.518882751,17056.5527634262
322,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,City of Yucaipa WPA,8103217.86494446,23987.5793456238
